证券代码↑,证券简称,"所属申万行业名称
[行业级别] 一级行业","董事会人数
[交易日期] 2010-12-31","独立董事人数
[交易日期] 2010-12-31","非独立董事人数
[交易日期] 2010-12-31","公司监事(历任)
[交易日期] 2010-12-31","高管人数
[交易日期] 2010-12-31","支付给职工以及为职工支付的现金
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","管理层年度薪酬总额
[年度] 2010
[单位] 万元","资产总计
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","员工总数
[交易日期] 2010-12-31","净现金流
[报告期] 2010第四季度
[单位] 元","资产负债率
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","公司属性
[交易日期] 2010-12-31","大股东持股比例
[日期] 2010-12-31
[排名] 第1名
[单位] %"
000403.SZ,派林生物,医药生物,8,3,5,"宁保安,马彦平,刘民志,郭晋升,史振太",5,"49,080,997.0200",180.4300,"925,413,645.1600",972,,70.3921,17.1197,民营企业,29.1100
000404.SZ,长虹华意,家用电器,9,3,6,"费敏英,赵立国,查春霞",7,"242,760,848.5100",127.2600,"3,592,170,311.4400",6146,,75.2424,41.8120,地方国有企业,29.9200
000407.SZ,胜利股份,公用事业,11,6,5,"张忠,毕建华,张仲力,帅重庆,董爱平",6,"102,444,746.9300",728.2800,"3,114,748,532.1300",1653,,53.2500,47.4382,民营企业,9.2300
000408.SZ,藏格矿业,化工,9,3,6,"王济贤,赵平安,冯颖",5,"14,451,747.3600",133.6300,"440,975,884.1300",1824,,62.6710,56.8821,民营企业,22.7800
000409.SZ,云鼎科技,综合,9,3,6,"费心,李兰周,严加德",5,"1,112,413.0000",68.9000,"48,200,667.0900",9,,25.0909,24.4419,地方国有企业,26.7800
000410.SZ,ST沈机,机械设备,9,3,6,"阎世文,高新刚,张之中,陈新海,唐华",8,"981,739,614.9400",493.8000,"10,482,712,947.7600",13830,,85.2209,32.6216,地方国有企业,42.2700
000411.SZ,英特集团,医药生物,9,3,6,"陈波良,高健,滕伟宏,张华,李小萍",4,"88,147,191.9600",240.6400,"2,465,998,116.8400",934,,81.4150,30.7485,中央国有企业,21.3500
000413.SZ,东旭光电,电子,7,3,4,"樊振平,黄志纯,姜乐泽,范涛,谢孟雄",5,"15,008,669.6700",33.1700,"374,874,767.4600",565,,36.3774,26.3007,地方国有企业,28.9300
000415.SZ,渤海租赁,非银金融,7,3,4,"金平,唐乾山,李红",4,"44,650,646.4500",70.4300,"1,281,802,122.6000",904,,78.2727,25.6380,民营企业,10.9900
000416.SZ,民生控股,非银金融,9,3,6,"任江岩,庞建华,兰立鹏,刘庚",4,"21,397,689.4400",231.9000,"992,436,394.7300",61,,23.2765,12.5307,民营企业,22.5600
000417.SZ,合肥百货,商业贸易,11,4,7,"黄颢,胡丛,许兰",9,"255,260,278.5200",355.0300,"4,473,527,463.1500",7762,,63.0959,19.9865,地方国有企业,23.9900
000419.SZ,通程控股,商业贸易,8,3,5,"章棉水,舒适广,张宏伟,陶青,彭小兰",4,"151,724,982.8700",206.0000,"3,187,364,471.2500",5094,,71.8966,35.4961,地方国有企业,44.7800
000420.SZ,吉林化纤,化工,10,3,7,"陈敏,张宝忠,姜岩峰,王玉林,徐英彪",5,"277,241,353.2000",40.0100,"2,916,262,627.6900",4426,,68.6778,26.4955,地方国有企业,21.2600
000421.SZ,南京公用,公用事业,8,3,5,"方国,匡导球,翟照磊,杨光明,屈兰宁",7,"347,623,673.5600",232.1600,"2,978,085,691.5800",4231,,63.6461,11.3433,地方国有企业,30.0600
000422.SZ,湖北宜化,化工,11,4,7,"张宇红,许本华,夏芸,白梅,彭志刚",9,"355,675,358.5200",683.7000,"18,745,813,518.2000",3275,,72.4969,31.7824,地方国有企业,16.4100
000423.SZ,东阿阿胶,医药生物,9,3,6,"刘广立,李均,邹兰,臧绪岱,刘振华",9,"197,915,971.6200",259.1400,"3,597,719,335.3800",5420,,21.6900,17.8778,中央国有企业,23.1400
000425.SZ,徐工机械,机械设备,9,3,6,"李格,刘建梅,刘庆东,赵成彦,张守航,魏恒,徐筱慧",8,"1,172,964,537.5500","1,883.0000","24,801,122,459.1300",13059,,51.3903,21.8117,地方国有企业,49.2000
000426.SZ,兴业矿业,有色金属,9,3,6,"徐瑞,张国兴,呼和",5,"44,245,732.0100",79.7000,"1,625,827,672.7700",385,,30.2007,22.7057,地方国有企业,45.1000
000428.SZ,华天酒店,休闲服务,9,3,6,"袁翠玲,李萱,刘纪任,潘小青,吴冰颖",5,"218,571,790.9200",124.3800,"4,559,850,681.9800",7728,,65.9250,8.1149,地方国有企业,45.4300
000429.SZ,粤高速A,交通运输,11,4,7,"陈楚宣,杨晓华,涂慧玲,李梅,邹慧明",9,"143,537,459.3300",472.4000,"10,526,464,082.2500",1433,,54.4009,6.9739,地方国有企业,40.8300
000430.SZ,张家界,休闲服务,9,3,6,"熊新春,刘青山,刘世星",4,"18,072,680.3100",114.9200,"255,074,525.2900",361,,103.7456,5.0844,地方国有企业,20.4100
000488.SZ,晨鸣纸业,轻工制造,15,5,10,"王菊,高俊杰,杨洪芹,郭光耀,尹启祥",13,"858,757,675.0500","2,525.6400","35,077,132,129.9800",17679,,56.4953,15.5764,地方国有企业,18.9100
000498.SZ,山东路桥,建筑装饰,5,2,3,"赵盛君,秦志勇",4,"493,832.7200",9.3600,"45,189,824.1600",11,,78.2854,-100.0000,民营企业,19.6300
000501.SZ,鄂武商A,商业贸易,11,4,7,"唐国文,赵豫婷,皮泓,宋汉杰,艾璇",11,"465,012,956.3600",929.4600,"7,457,438,834.8400",14379,,75.1975,32.7485,地方国有企业,18.4200
000502.SZ,*ST绿景,房地产,9,3,6,"文小兵,赵常辉,陈宁",7,"15,216,842.4100",292.9400,"826,496,641.0200",74,,65.9987,-84.4934,民营企业,22.6500
000503.SZ,国新健康,医药生物,7,3,4,"白小克,王春霞,邓南",4,"79,930,228.2800",185.6000,"1,554,773,179.5500",596,,16.6907,-27.4246,民营企业,23.8000
000504.SZ,南华生物,医药生物,11,5,6,"于亚文,陈瑛,翁笑",7,"20,446,570.4400",246.8500,"286,824,436.8500",187,,43.8212,-14.7606,其他企业,25.5800
000505.SZ,京粮控股,农林牧渔,9,3,6,"佘建辉,王革平,吴小静",5,"61,287,864.7000",89.9200,"1,448,885,550.2400",27,,64.2128,140.6354,地方国有企业,26.3600
000506.SZ,中润资源,房地产,9,3,6,"吴凯,郭明城,孙朝晖",6,"27,965,331.3400",175.0000,"5,499,238,186.5400",360,,82.2343,18.7976,民营企业,47.0900
000507.SZ,珠海港,交通运输,11,4,7,"周优芬,陈仕登,时启峰,肖江,梁小天",9,"72,095,761.4800",387.9700,"1,817,238,683.8400",613,,21.8068,-27.0691,地方国有企业,16.4000
000509.SZ,*ST华塑,医药生物,9,3,6,"孟杰,刘乐全,成平江",8,"64,189,754.1700",201.6000,"649,652,666.5400",2102,,101.0435,-29.3463,地方国有企业,25.1700
000510.SZ,新金路,化工,9,3,6,"易正隆,缪孝洪,赵明发,胡永江,陈琪",6,"151,025,498.8000",340.9200,"2,419,332,334.1500",3041,,51.3404,18.3283,民营企业,5.1400
000513.SZ,丽珠集团,医药生物,9,3,6,"曹平伟,庞大同,汪卯林",8,"245,102,615.0500",427.9000,"3,661,991,627.9500",4641,,27.9313,5.0416,民营企业,26.2100
000514.SZ,渝开发,房地产,7,4,3,"张鹏,张俊清,叶坚",5,"33,778,004.7300",97.3200,"4,605,196,569.0900",615,,46.7011,72.2500,地方国有企业,63.8400
000516.SZ,ST国医,医药生物,9,3,6,"程鑫渝,孙文国,刘勇,刘梅,王志峰",5,"85,778,022.5100",458.0000,"2,706,840,375.5100",1847,,60.5198,9.0801,民营企业,20.8600
000517.SZ,荣安地产,房地产,9,3,6,"王信忠,刘生波,余亚萍,哈保民,苏小明",6,"25,548,985.0000",702.0000,"7,180,620,065.2900",475,,73.4616,-37.2380,民营企业,78.0200
000518.SZ,四环生物,医药生物,6,2,4,"陈海东,王建国,赵俊",4,"21,089,742.8500",51.0000,"962,042,016.7800",392,,8.5566,7.3622,集体企业,5.8300
000519.SZ,中兵红箭,国防军工,7,3,4,"敖文祥,白锐,张为民,陈钢,徐敏",6,"63,032,419.4900",121.9000,"480,406,159.5400",1492,,24.5625,19.6263,中央国有企业,21.5800
000520.SZ,长航凤凰,交通运输,9,3,6,"毛永德,郭汉忠,吴晓宝",9,"552,796,621.9300",743.1300,"7,776,990,157.5900",10397,,85.3835,32.1374,中央国有企业,27.2700
000521.SZ,长虹美菱,家用电器,9,3,6,"雍凤山,余晓,费敏英,张儒和,尚文",8,"403,347,773.5500",381.6300,"7,116,164,154.5800",3796,,61.4091,30.0892,地方国有企业,21.3800
000523.SZ,*ST浪奇,化工,7,3,4,"古建华,金建忠,何伟文",6,"64,057,197.1400",327.8000,"932,093,902.6900",598,,48.9093,33.1596,地方国有企业,45.4250
000524.SZ,岭南控股,休闲服务,9,3,6,"钟炳强,金燕,杨杏光,麦锦洪,王深晖",7,"74,708,086.8800",259.8800,"737,092,892.3200",1213,,18.0748,21.3248,地方国有企业,37.1900
000525.SZ,ST红太阳,化工,9,5,4,"赵富明,刘奎涛,齐武,王树森,夏小云",6,"84,712,506.2000",244.3000,"3,694,908,538.6900",2178,,80.2555,7.3306,地方国有企业,28.5100
000526.SZ,学大教育,传媒,7,3,4,"黄汉娟,刘维业,田青",5,"2,995,581.3700",85.7500,"192,495,098.0800",30,,18.4769,273.1665,民营企业,18.1800
000528.SZ,柳工,机械设备,9,3,6,"蒋建芳,王相民,黄建兵,谭佐州,范立卫",9,"837,309,757.8400","1,891.2400","18,594,926,213.4000",5048,,54.4765,50.9004,地方国有企业,38.6900
000529.SZ,广弘控股,传媒,8,3,5,"禄爱珍,潘芸,王振秀",9,"65,532,053.5700",427.8900,"993,005,835.1800",950,,27.8630,13.6762,地方国有企业,50.1800
000530.SZ,冰山冷热,机械设备,9,3,6,"门曰胜,于福春,毛春华",7,"188,745,876.2500",361.6000,"2,912,380,523.5900",1161,,37.5602,7.2415,地方国有企业,21.9600
000531.SZ,穗恒运A,公用事业,11,4,7,"林毅建,黄河,蓝建璇,明安金,李鸿生,刘红川",8,"197,966,702.3500",442.8000,"6,341,617,704.9600",760,,61.8082,4.3451,地方国有企业,33.5600
000532.SZ,华金资本,电子,9,3,6,"吴国周,赵忠艳,高振先,万敏,罗薇",7,"39,227,838.6100",432.9600,"1,236,819,175.2800",657,,20.5617,30.0576,地方国有企业,10.0600
000533.SZ,顺钠股份,电气设备,11,4,7,"樊均辉,张洁茜,余少言,刘革,裴子平",4,"213,956,361.3200",390.2000,"2,410,036,827.0100",3622,,59.6963,2.8756,民营企业,24.7000
000534.SZ,万泽股份,医药生物,9,3,6,"许小将,林楚成,陈岚",7,"26,516,934.0500",93.5100,"1,222,113,968.0700",648,,46.4290,-43.8587,民营企业,18.6800
000536.SZ,华映科技,电子,9,5,4,"简永忠,黄旭晖,李钦彰",5,"221,498,416.9400",152.6700,"4,714,227,471.1400",8097,,32.7206,60.4142,外资企业,71.4200
000537.SZ,广宇发展,房地产,9,3,6,"李斌,王志华,赵欣福",4,"21,323,713.0200",48.9500,"2,715,310,710.5700",97,,64.6478,50.3881,中央国有企业,20.0200
